UserPrincipalName,,,DisplayName,UsageLocation,AccountSkuId
od001@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od002@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od003@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od004@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od005@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od006@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od007@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od008@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od009@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od010@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od011@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od012@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od013@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od014@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od015@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od016@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od017@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
od018@365a1.me,,,user,HK,h8cs:STANDARDWOFFPACK_STUDENT
